EMLCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,276,300,299,281,234,273,286,300,328,314,128,226,265,245,294,322,438,509,458,886,2252,5047,5301,2721,3865,9824,9506,8927,9823,10757
EMTCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421,3825,3876,3124,1486,1424,2135,4124,3701,3929,4940,548,1993,2809,8752,7381,7402,5585,4838,5511,7646,8972,49980,72184,78968,78024,81818,83097,81722,127087,123643,119760,123628,125787,129454
ESACB,225,221,225,226,227,226,225,223,223,222,222,222,273,654,527,904,1002,806,761,771,691,799,872,851,845,908,906,894,929,938,1076,1177,1321,1391,1451,1444,1463,1631,1776,1842,2068,2252,2017,2760,3072,2888,2992,2893,2958,2881,2802,2820,2337,2851,2837,2858
ESCCB,75197,90130,96501,100941,101211,102076,111556,114992,125636,129216,138644,145715,161970,168361,156782,197370,207112,207532,209125,214393,216544,231440,226608,214696,243545,251095,254969,265397,275476,286337,301318,293765,299742,295290,288413,293540,302320,314926,338017,326771,340858,366415,371813,373879,405867,401082,413722,422031,426590,413212,413370,418928,415553,398719,407714,403927
ESICB,68889,67069,63876,69560,87087,98621,109746,117786,126713,135681,143881,150112,158456,160414,146052,157134,168116,174642,176783,184616,177042,169069,161388,164298,175017,180742,180441,185567,187621,189693,190702,191724,194789,191718,204255,195737,196813,211600,210318,215696,219429,215097,165304,170289,166545,171427,173981,172436,174119,163214,168215,170381,160199,185603,180489,179342
ESRCB,51094,55441,60872,66509,74160,81204,88670,97907,104375,115209,122071,133301,140949,148408,145123,151005,156102,158847,168283,178860,177462,180146,176989,183813,192886,196193,196334,205976,220548,219553,227153,225249,232429,229828,234972,234687,243604,249370,256601,256935,270369,261590,263414,282943,284429,292103,306520,304209,311280,306393,297721,301615,307455,304493,304899,304986
ESTCB,195405,212861,221474,237236,262685,282127,310196,330908,356948,380328,404818,429350,461648,477836,448484,506413,532332,541827,554952,578641,571739,581453,565856,563658,612293,628938,632650,657833,684574,696521,720249,711915,728282,718226,729091,725407,744200,777527,806713,801243,832723,845353,802548,829871,859913,867499,897214,901570,914946,885700,882107,893745,885544,891666,895939,891114
ESTXB,195405,212861,221474,237236,262685,282127,310196,330908,356948,380328,404818,429350,461648,477836,448484,506413,532332,541827,554952,578641,571739,581453,565856,563658,612293,628938,632650,657833,684574,696521,720249,711915,728282,718226,729091,725407,744200,777527,806713,801243,832723,845353,802548,829871,859913,867499,897214,901570,914946,885700,882107,893745,885544,891666,895939,891114
FFTCB,3176223,3353873,3404231,3587210,3900194,3968446,4255290,4354651,4648351,4708602,4806416,4972552,5086532,5270729,4871800,4971979,5162842,5552369,5370543,5704530,5435689,5237875,4709930,4613211,4991844,5097678,4821686,5359200,5428277,5683570,5692736,5553699,5633110,5459215,5730548,5512662,5481047,5563538,5804462,5877136,6103048,6172713,6098528,5909544,6204346,6115996,6232667,6334957,6098017,5860272,5741400,5550014,5687073,5746792,5684179,5774857
FNICB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
