DKEIB,61,60,39,37,35,24,29,36,19,22,49,80,72,127,189,198,226,179,140,110,1260,725,924,481,209,265,244,305,303,283,214,332,413,410,269,254,250,240,262,421,392,355,315,510,307,374,425,476,588,493,534,415,506,637,711,728
ELEXB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,334,221,210,403,394,219,59,32,11,26,5
ELIMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,78,269,281,104,126,133,93,141,153,103,77,100,42
ELISB,3077,3826,5036,-9589,-24211,-49401,-40994,-48421,-42212,-50514,-94498,-104941,-112440,-127353,-135916,-134254,-132743,-143460,-119108,-119958,-161175,-151128,-169454,-193231,-159943,-163479,-131018,-145454,-148279,-158994,-150844,-109463,-133736,-135589,-140787,-129071,-124886,-135752,-137235,-141892,-146420,-144118,-108824,-130420,-124839,-141168,-153098,-129667,-137793,-169389,-126025,-141242,-122881,-116455,-79078,-82525
ELNIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,78,193,-53,-117,-84,-269,-301,-78,93,71,66,73,37
EMACB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,212,487,479,431,819,1216,1675,1254,1234,978,199,515,1583,1333,1337,2271,1911,2173,713,607,484,536,1010,978,1277,2727,4031,7822,7903,7782,7098,6504,8066
EMCCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,5,8,11,9,7,5,0,0,1,1,1,2,2,2,1,10,12,2,1,1,1,3,4,7,8,8,7,6,137
EMICB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,10,8,15,21,32,23,24,17,6,15,51,45,45,53,30,36,21,18,15,18,33,33,29,59,81,148,145,134,127,99,205
EMLCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,338,633,752,803,845,920,919,862,719,836,741,802,751,704,282,485,558,506,595,638,852,972,859,1153,1618,1705,1232,1511,1718,1668,1305,1359,1265,0
EMTCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,214,496,492,442,839,1245,1717,1285,1265,1000,205,530,1635,1379,1383,2325,1942,2211,736,635,512,556,1044,1012,1307,2789,4115,7978,8055,7924,7232,6610,8408
