CLEIB,0,0,0,0,0,0,0,0,0,0,0,130,25912,66237,72748,118509,163431,232416,357202,504023,670791,767000,847168,950870,981788,1063434,1090162,1141357,1210838,1273333,1271920,1269988,1263384,1359679,1306565,1301126,1411826,1449081,1425307,1467723,1474883,1417079,1477476,1528776,1554811,1557476,1539379,1568721,1566630,1480416,1553945,1675488,1478692,1575503,1558256,1319835
CLICB,24418,17987,20362,19001,26063,29031,27688,23405,24922,25087,30714,23885,24200,59623,60349,77652,62907,55737,61236,83619,63339,91418,83765,65888,93080,85407,72234,61884,52170,62262,61481,63187,60465,70882,82842,63674,73751,74119,62929,62567,73098,75464,71627,72494,70937,70078,70919,40433,38976,17063,13828,19450,19846,21613,27480,20417
CLKCB,18950,13936,17930,16758,23021,26621,25807,21599,23039,24971,30496,23191,23534,26604,24427,25613,16725,17835,10816,30084,26478,18599,10264,295,13373,10827,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLOCB,5467,4051,2433,2243,3042,2410,1881,1806,1883,117,218,694,667,33019,35921,52039,46182,37903,50420,53535,36861,72819,73501,65594,79707,74580,70170,61884,52170,62262,61481,63187,60465,70882,82842,63674,73751,74119,62929,62567,73098,75464,71627,72494,70937,70078,70919,40433,38976,17063,13828,19450,19846,21613,27480,20417
CLRCB,154,94,98,73,61,51,59,47,22,16,14,7,6,6,6,0,0,9,0,0,3,17,22,0,0,35,80,157,243,65,54,49,39,21,0,0,0,0,39,16,22,48,147,351,28,25,0,0,0,0,0,0,0,0,0,0
CLTCB,24974,18203,20582,19173,26232,29182,27844,23523,24996,25141,30767,24048,50140,125909,133141,196172,226342,288187,418438,587642,734145,858514,931065,1016758,1074868,1148998,1162745,1203925,1264113,1335906,1333671,1333449,1324063,1430676,1389409,1364800,1485577,1523201,1488589,1530426,1548184,1492977,1550325,1603971,1626029,1627863,1610301,1609155,1605925,1497854,1568060,1695239,1498818,1597357,1585961,1340422
CLTXB,24974,18203,20582,19173,26232,29182,27844,23523,24996,25141,30767,23918,24228,59673,60393,77663,62911,55771,61236,83619,63354,91515,83897,65888,93080,85565,72583,62568,53275,62573,61750,63462,60679,70996,82844,63674,73751,74120,63283,62703,73302,75898,72849,75196,71218,70387,70922,40434,39295,17438,14115,19751,20125,21854,27705,20588
COICB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,1507,1655,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFACB,79051,80294,82728,86902,87185,92092,82259,87476,102860,120697,130795,141227,178028,209761,222929,217804,224186,252574,271860,287573,281268,334815,332284,312874,294377,309159,285233,280676,277732,296647,275924,306723,327288,355099,367366,378048,408509,427327,460070,463049,482095,535027,533226,542106,590562,609750,687151,689893,649283,619538,667498,712958,704291,748563,847102,841110
DFCCB,3469,1851,2439,2475,2363,2565,2618,2273,2584,4103,4833,5371,8158,9061,9497,9720,11788,20183,22497,26021,16555,21786,28424,52145,41271,39480,23359,29853,20654,16047,12958,12948,13625,11397,12887,15536,15595,14029,17876,16704,32919,21106,13476,15744,10452,15808,14041,14121,13192,19353,14410,26561,24054,19755,18569,16675
